ID,X,Y,Z,Indoor,InCar,BSdist,GCellID
384,26.275784,-93.877462,1.5,false,false,100.277838,0
385,-116.738501,-158.256982,1.5,true,false,198.054033,0
386,95.646147,-91.774148,1.5,true,false,134.621431,0
387,219.332708,60.052357,1.5,true,false,228.616212,0
388,-150.819352,25.97832,1.5,true,false,154.834105,0
389,20.325198,74.743022,1.5,true,false,80.943702,0
390,-103.934956,109.06689,1.5,true,false,152.480529,0
391,-232.919966,47.696196,1.5,true,false,238.911882,0
392,-175.811906,128.366173,1.5,true,false,218.951937,0
393,212.409235,-8.994026,1.5,false,false,213.894426,0
394,7.501201,-232.834421,1.5,true,false,234.137536,0
395,-170.094737,-155.392769,1.5,true,false,231.584503,0
396,-48.118731,0.239736,1.5,true,false,53.551094,0
397,118.899337,-164.846349,1.5,false,false,204.606014,0
398,-107.216316,-150.071039,1.5,false,false,185.92715,0
399,-94.357869,-196.985516,1.5,true,false,219.6792,0
400,209.611195,-60.393804,1.5,true,false,219.400352,0
401,-170.648749,179.357678,1.5,true,false,248.681367,0
402,87.096335,-38.757966,1.5,true,false,98.184528,0
403,109.054624,-146.834254,1.5,true,false,184.405692,0
404,-12.977623,-123.524866,1.5,true,false,126.408311,0
405,-3.608472,-222.368225,1.5,true,false,223.635638,0
406,181.984801,-20.01754,1.5,false,false,184.584451,0
407,-117.331153,-114.328174,1.5,true,false,165.498583,0
408,25.366226,-94.708754,1.5,true,false,100.823824,0
409,-201.257304,-133.88114,1.5,true,false,242.859861,0
410,192.629463,123.52832,1.5,false,false,230.038271,0
411,-80.737411,220.032345,1.5,true,false,235.552568,0
412,62.446502,239.7054,1.5,true,false,248.818196,0
413,134.112856,2.107247,1.5,true,false,136.172496,0
414,-4.279922,101.394772,1.5,true,false,104.170378,0
415,170.411869,-173.700516,1.5,true,false,244.46743,0
416,48.054351,22.528363,1.5,true,false,58.043068,0
417,-203.275325,10.831244,1.5,true,false,204.91565,0
418,-76.918985,221.924112,1.5,true,false,236.048919,0
419,85.423475,-192.867645,1.5,false,false,212.243607,0
420,-161.43542,-121.764952,1.5,true,false,203.569026,0
421,143.670121,-155.435146,1.5,true,false,212.963467,0
422,53.072987,-70.341507,1.5,true,false,91.197147,0
423,19.129977,-95.94761,1.5,true,false,100.618834,0
424,-76.848175,68.140288,1.5,true,false,105.36124,0
425,-6.786315,272.720241,1.5,true,false,273.814963,0
426,59.096884,31.594864,1.5,false,false,71.01357,0
427,-126.209979,139.080193,1.5,true,false,189.273635,0
428,-238.079324,45.399362,1.5,true,false,243.505886,0
429,34.794283,-4.564296,1.5,false,false,42.234168,0
430,-227.218736,-30.747696,1.5,true,false,230.490834,0
431,-117.95011,190.838383,1.5,true,false,225.574305,0
432,42.317831,174.698989,1.5,true,false,181.280958,0
433,-35.634525,84.128661,1.5,true,false,94.338227,0
434,84.362265,-97.423169,1.5,true,false,130.998151,0
435,-60.508271,209.690818,1.5,true,false,219.50795,0
436,38.572541,-234.208322,1.5,true,false,238.523854,0
437,-37.504499,129.149774,1.5,true,false,136.522897,0
438,212.20066,-71.394908,1.5,true,false,225.119086,0
439,210.675487,-44.50115,1.5,true,false,216.602778,0
440,-94.118862,-148.591102,1.5,false,false,177.45401,0
